Authors,"Sub-specialty, Nature of incidence",Task Description,Task Achieved,Sample Size,Study Setting,Model Proposed,Base Model,Prediction Performance,95% CI,"Domain Standard
Model",Domain Standard Base Model,Major Challenges Faced,Challenges Classified,ROB
"Li et al., 2025
(120)","Risk-model, Postoperative","Predicting 1-year adverse outcomes 
following TEVAR and complex EVAR",Postoperative complications prediction ,10738,Retrospective,"XGBoost
(AUC)",XGBoost,0.99,0.97-0.99,"LR
0.70, (0.68-0.72)",LR,N/A,,
"Hsu et al., 2024
(121)","Risk-model, Postoperative",Predicting first-day mortality for VA-ECMO patients.,Mortality prediction and risk classification,1748,Retrospective,"Random Survival Forest
(AUC)",RF,0.95,0.92-0.98,"SOFA Score
0.75, (0.68-0.81)",SOFA,Lack of crucial objective specific data hinders model performance as it depends on quality and comprehensiveness of data.,Poor data quality,
"Zhang et al., 2025
(122)","Risk-model, Postoperative","Predicting paroxysmal and 
persistent atrial fibrillation",Cardiac and vascular condition/injury,1600,Retrospective,"Gradient Boost
(AUC)",GBM,0.87,0.85-0.88,,,Smaller dataset size necessitates validation of the study results with a larger data set.,Small sample size problem,
"Yan et al., 2024
(123)","Risk-model, Postoperative",Predicting the risk of postoperative arrhythmia in pmVSD patients,Postoperative complications prediction ,1384,Retrospective,"LR
(AUC)",LR,0.86,0.82-0.90,,,Lack of generalizability of ML models restricts their implication.,Generalizability and validation,
"Askarinejad et al., 2024
(124)","Observational model, Postoperative",Forecasting the early recurrence of atrial fbrillation following catheter ablation.,Cardiac and vascular condition/injury,402,Prospective,"Catboost
(AUC)",CatBoost,0.94,,,,Smaller sample size and lack of external validation restricts the generalizability.,Small sample size problem,
"Jiang et al., 2025
(125)","Risk-model, Postoperative",Predicting extubation failure after cardiac surgery in critically ill patients,Postoperative complications prediction ,776,Retrospective,"XGBoost
(AUC)",XGBoost,0.79,0.78-0.80,,,Monocentric data limits the applicability.,Generalizability and validation,
"Liu et al., 2024
(126)","Risk-model, Postoperative",Predicting AKI in active infective endocarditis,AKI prediction,527,Retrospective,"RBF-SVM
(AUC)",Hybrid Models,0.77,0.69-0.84,,,N/A,,
"Squiccimarro et al., 2025
(127)","Risk-model, Postoperative","Predicting systemic inflammatory response syndrome 
(SIRS) on 30-day mortality following cardiac surgery",Postoperative complications prediction ,1908,Retrospective,"Procedure-adjusted Risk Model
(AUC)",Hybrid Models,0.82,0.76-0.85,,,N/A,,
"Li et al., 2024
(128)","Risk-model, Postoperative","Early prediction 
model for cardiac surgery-associated acute kidney injury",AKI prediction,689,Prospective,"LASSO Regression
(AUC)",LASSO,0.84,0.79-0.88,,,Limitations in applicability of the model to other racial and ethnic groups.,Generalizability and validation,
"Yang et al., 2024
(129)","Observational model, Postoperative",Predicting prolonged ICU stay for IABP patients in CABG surgery,Hospital LoS and readmission prediction,236,Retrospective,"XGBoost
(AUC)",XGBoost,0.73,,,,N/A,,
"Shen et al., 2025
(130)","Risk-model, Postoperative",Predicting postoperative complications using multi-task representation learning,Postoperative complications prediction ,89246,Retrospective,"surgVAE
(AUC)",Deep Learning Models,0.83,,,,N/A,,
"Zhou et al., 2025
(131)","Risk-model, Postoperative",Predicting postoperative delirium in cardiac surgery patients,Delirium,103,Retrospective,"RF
(AUC)",RF,0.91,,,,N/A,,
"Li et al., 2025
(132)","Risk-model, Postoperative",1-year mortality prediction following TCAR,Mortality prediction and risk classification,38325,Retrospective,"XGBoost
(AUC)",XGBoost,0.91,0.90-0.92,,,N/A,,
"Li et al., 2024
(133)","Observational model, Postoperative",Predicting risk factors of prolonged length of stay for aortic dissection.,Hospital LoS and readmission prediction,516,Retrospective,"XGBoost
(AUC)",XGBoost,0.71,0.62-0.80,,,Lack of external validation limiting the generalizability.,Generalizability and validation,
"Razavi et al., 2025
(134)","Risk-model, Postoperative",Predicting 1-year mortality in patients with STEMI,Mortality prediction and risk classification,605,Retrospective,"Catboost
(AUC)",CatBoost,0.82,,,,Imbalanced dataset in healthcare analytics and ML models are prone to imbalanced data.,Class imbalance problem,
"Ma et al., 2025
(135)","Risk-model, Postoperative",Feature analysis of of predictor variables influencing the risk of AGI,Postoperative complications prediction ,188,Retrospective,"RF
(AUC)
[Macro-averaged for 3 phenogroup)",RF,0.96,0.84-1.00,,,Smaller sample size and need for external validation.,Small sample size problem,
"Li et al., 2025
(136)","Observational model, Postoperative",Assessing postoperative pulmonary complications using wearable device data,Postoperative complications prediction ,100,Retrospective,"XGBoost
(AUC)",XGBoost,0.82,0.74-0.90,,,N/A,,
"Zhang et al., 2025
(137)","Risk-model, Postoperative",Predicting microvascular obstruction in STEMI patients with CMR,Cardiac and vascular condition/injury,350,Retrospective,"XGBoost
(AUC)",XGBoost,0.86,,,,Low sample size limits predictive capabilities.,Small sample size problem,
"Li et al., 2024
(138)","Risk-model, Postoperative",Predicting atrial fibrillation after RFCA,Cardiac and vascular condition/injury,325,Retrospective,"SVM
(AUC)",SVM,0.79,0.78-0.80,,,Imbalance in the target class creates a problem and 5-fold cross validation might also lead to overfitting.,Class imbalance problem,
"Khan et al., 2024
(139)","Risk-model, Postoperative",Post-cardiac surgery mortality prediction,Mortality prediction and risk classification,5443,Retrospective,"RF
(AUC)",RF,0.87,,"EuroSCORE II
0.73",EuroSCORE II,N/A,,
"Arellano et al., 2024
(140)","Observational model, Postoperative",Predicting length of ICU stay using perioperative patterns,Hospital LoS and readmission prediction,317,Retrospective,"RF
(AUC)",RF,0.92,,,,Class imbalance needs to be addressed to prevent underfitting.,Class imbalance problem,
"Al-Absi et al., 2024
(141)","Observational model, Postoperative",Cost-benefit management for AKI patients in cardiac surgery,AKI prediction,2907,Retrospective,"RF-XGBoost Hybrid
(F-1 score)",Hybrid Models,0.69,,,,N/A,,
